-0.43,-0.67,-0.84,-0.97,-1.07,-1.15,-1.22
0.43,0,-0.25,-0.43,-0.57,-0.67,-0.76
,0.67,0.25,0,-0.18,-0.32,-0.43
,,0.84,0.43,0.18,0,-0.14
,,,0.97,0.57,0.32,0.43
,,,,1.07,0.67,0.76
,,,,,1.15,1.22
